index,player,pos,tm,mp_per_game,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,ast,stl,blk,tov,pf,tspercent,x3par,ftr,orbpercent,drbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,obpm,dbpm,i
71,Wayne Cooper,PF,GSW,22.5,0.489,0.0,0.1,0.25,4.6,9.4,0.491,1.7,2.3,0.7509999999999999,2.6,3.9,0.5,0.3,1.0,1.8,3.1,0.525,0.005,0.24100000000000002,12.1,19.5,3.5,0.5,2.6,14.4,22.4,1.1,1.6,-2.0,-1.9,1980
72,Hollis Copeland,SF,NYK,15.2,0.495,0.0,0.0,0.0,2.4,4.9,0.49700000000000005,0.8,1.1,0.733,0.9,1.1,1.1,0.8,0.3,1.1,2.1,0.526,0.005,0.23399999999999999,6.6,8.3,8.7,2.4,1.2,17.1,16.5,0.5,0.8,-1.7,-0.4,1980
75,Dave Cowens*,C,BOS,32.7,0.45299999999999996,0.0,0.2,0.083,6.4,13.9,0.45799999999999996,1.4,1.8,0.779,1.9,6.2,3.1,1.0,0.9,1.6,3.3,0.47700000000000004,0.013000000000000001,0.131,6.6,20.7,13.4,1.5,1.6,9.9,20.1,1.9,3.6,-0.7,2.0,1980
76,Charlie Criss,PG,ATL,22.1,0.431,0.0,0.2,0.059000000000000004,3.1,6.9,0.442,2.1,2.6,0.8109999999999999,0.3,1.1,3.0,0.9,0.0,1.6,1.6,0.5,0.028999999999999998,0.36700000000000005,1.6,5.4,20.0,2.0,0.1,16.2,18.2,1.0,1.8,-1.5,-0.9,1980
79,Bob Dandridge,SF,WSB,32.4,0.451,0.0,0.2,0.182,7.3,16.0,0.455,2.7,3.4,0.809,1.4,4.1,4.0,0.6,0.8,2.7,2.5,0.49200000000000005,0.015,0.209,4.3,12.7,18.2,0.9,1.3,13.4,24.9,0.5,1.2,-0.2,-0.1,1980
80,Adrian Dantley*,SF,UTA,39.3,0.5760000000000001,0.0,0.0,0.0,10.7,18.6,0.5770000000000001,6.5,7.7,0.8420000000000001,2.7,4.9,2.8,1.4,0.2,3.4,3.1,0.635,0.002,0.415,8.3,14.0,12.3,1.8,0.3,13.5,27.8,9.5,1.1,5.6,-1.9,1980
83,Brad Davis,PG,UTA,17.3,0.589,0.0,0.1,0.0,2.5,4.2,0.6,0.8,0.9,0.833,0.3,0.8,3.5,0.8,0.1,0.8,1.6,0.62,0.018000000000000002,0.214,2.2,5.5,28.3,2.2,0.3,15.2,13.8,0.6,0.0,0.8,-3.4,1980
85,Johnny Davis,PG,IND,35.5,0.428,0.0,0.5,0.095,6.0,13.6,0.44,3.7,4.3,0.8640000000000001,1.2,1.5,5.4,1.3,0.3,2.5,2.2,0.495,0.036000000000000004,0.304,3.5,4.5,20.3,1.7,0.4,13.3,20.2,3.1,1.3,-0.2,-2.1,1980
86,Walter Davis,SF,PHO,30.8,0.563,0.0,0.1,0.0,8.8,15.5,0.565,4.0,4.9,0.8190000000000001,1.0,2.6,4.5,1.5,0.3,3.2,2.7,0.608,0.003,0.313,3.6,9.2,23.6,2.3,0.5,15.4,27.0,5.5,2.8,3.7,-0.4,1980
87,Darryl Dawkins,C,PHI,31.8,0.522,0.0,0.1,0.0,6.2,11.8,0.526,2.4,3.6,0.653,2.5,6.2,1.9,0.6,1.8,2.9,4.1,0.5479999999999999,0.006,0.308,8.7,19.6,8.5,0.9,3.0,17.6,20.5,1.3,4.3,-1.3,1.4,1980
